Normalised City Pair,Departure Code,Arrival Code,Departure_lat,Departure_lon,Arrival_lat,Arrival_lon,Distance in KM,Distance in miles
"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,5540.14,3434.89
"Johannesburg, South Africa - London, United Kingdom",JNB,LHR,-26.1,28.23,51.47,-0.45,9070.08,5623.45
"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,5540.14,3434.89
"Johannesburg, South Africa - London, United Kingdom",JNB,LHR,-26.1,28.23,51.47,-0.45,9070.08,5623.45
"London, United Kingdom - Singapore, Singapore",SIN,LHR,1.3,103.98,51.47,-0.45,10885.97,6749.3
"London, United Kingdom - New York, United States Of America",JFK,LCY,40.6,-73.79,51.5,0.05,5575.83,3457.01
"London, United Kingdom - New York, United States Of America",LCY,JFK,51.5,0.05,40.64,-73.79,5573.04,3455.28
"London, United Kingdom - Newark, United States Of America",EWR,LHR,40.7,-74.18,51.47,-0.45,5562.68,3448.86
"Bombay, India - London, United Kingdom",LHR,BOM,51.5,-0.45,19.09,72.86,7211.59,4471.19
"Dubai, United Arab Emirates - London, United Kingdom",DXB,LHR,25.3,55.35,51.47,-0.45,5492.26,3405.2
"Delhi, India - London, United Kingdom",DEL,LHR,28.7,77.26,51.47,-0.45,6730.57,4172.95
"New York, United States Of America - San Francisco, United States Of America",JFK,SFO,40.6,-73.79,37.61,-122.39,4153.35,2575.08
"London, United Kingdom - Newark, United States Of America",EWR,LHR,40.7,-74.18,51.47,-0.45,5562.68,3448.86
"Hong Kong, Hong Kong - London, United Kingdom",LHR,HKG,51.5,-0.45,22.32,113.94,9628.8,5969.86
"Los Angeles, United States Of America - New York, United States Of America",JFK,LAX,40.6,-73.79,34.05,-118.24,3954.55,2451.82
"Cape Town, South Africa - Johannesburg, South Africa",JNB,CPT,-26.1,28.23,-33.97,18.59,1274.26,790.04
"New York, United States Of America - Sao Paulo, Brazil",JFK,GRU,40.6,-73.79,-23.42,-46.48,7658.58,4748.32
"London, United Kingdom - Milan, Italy",LHR,LIN,51.5,-0.45,45.47,9.18,974.89,604.43
"London, United Kingdom - Tokyo, Japan",LHR,NRT,51.5,-0.45,35.75,140.39,9589.94,5945.76
"Dubai, United Arab Emirates - London, United Kingdom",DXB,LHR,25.3,55.35,51.47,-0.45,5492.26,3405.2
"London, United Kingdom - Moscow, Russia",DME,LHR,55.4,37.9,51.47,-0.45,2544.04,1577.3
"Newark, United States Of America - Singapore, Singapore",EWR,SIN,40.7,-74.18,1.34,103.98,15336.74,9508.78
"London, United Kingdom - Madras, India",LHR,MAA,51.5,-0.45,13.05,80.23,8233.14,5104.55
"Boston, United States Of America - London, United Kingdom",LHR,BOS,51.5,-0.45,42.21,-71,5249.36,3254.6
"London, United Kingdom - San Francisco, United States Of America",SFO,LHR,37.6,-122.39,51.47,-0.45,8619.11,5343.85
"London, United Kingdom - Sao Paulo, Brazil",LHR,GRU,51.5,-0.45,-23.42,-46.48,9461.95,5866.41
"London, United Kingdom - Singapore, Singapore",SIN,LHR,1.3,103.98,51.47,-0.45,10885.97,6749.3
"London, United Kingdom - Madrid, Spain",LHR,MAD,51.5,-0.45,40.46,-3.58,1250.88,775.55
"Hong Kong, Hong Kong - New York, United States Of America",HKG,JFK,22.3,113.94,40.64,-73.79,12970.92,8041.97
"Chicago, United States Of America - New York, United States Of America",ORD,LGA,41.6,-98.93,40.77,-73.88,2090.95,1296.39
"Boston, United States Of America - New York, United States Of America",LGA,BOS,40.8,-73.88,42.21,-71,286.5,177.63
"London, United Kingdom - Nairobi, Kenya",NBO,LHR,-1.3,36.81,51.47,-0.45,6833.06,4236.5
"Johannesburg, South Africa - Nairobi, Kenya",JNB,NBO,-26.1,28.23,-1.28,36.81,2908.62,1803.34
"Glasgow, United Kingdom - London, United Kingdom",LCY,GLA,51.5,0.05,55.86,-4.43,567.27,351.71
"London, United Kingdom - Madrid, Spain",MAD,LHR,40.5,-3.58,51.47,-0.45,1243.24,770.81
"Cape Town, South Africa - London, United Kingdom",LHR,CPT,51.5,-0.45,-33.97,18.59,9684.16,6004.18
"Frankfurt, Germany - London, United Kingdom",FRA,LCY,50.1,8.56,51.5,0.05,617.6,382.91
"Doha, Qatar - London, United Kingdom",LHR,DOH,51.5,-0.45,25.27,51.56,5238.43,3247.83
"London, United Kingdom - Philadelphia, United States Of America",PHL,LHR,45.1,-89.01,51.47,-0.45,6180.86,3832.13
"Hong Kong, Hong Kong - London, United Kingdom",HKG,LHR,22.3,113.94,51.47,-0.45,9632.42,5972.1
"Frankfurt, Germany - London, United Kingdom",LHR,FRA,51.5,-0.45,50.05,8.56,653.27,405.03
"Houston, United States Of America - New York, United States Of America",IAH,LGA,30,-95.34,40.77,-73.88,2275.06,1410.54
"Istanbul, Turkey - London, United Kingdom",IST,LHR,41,28.99,51.47,-0.45,2522.39,1563.88
"New York, United States Of America - Paris, France",JFK,CDG,40.6,-73.79,49.01,2.54,5836.47,3618.61
"London, United Kingdom - Miami, United States Of America",MIA,LHR,33.4,-110.87,51.47,-0.45,8403.06,5209.9
"New York, United States Of America - Tokyo, Japan",JFK,NRT,40.6,-73.79,35.75,140.39,10835.28,6717.87
"London, United Kingdom - Washington Dc, United States Of America",LHR,IAD,51.5,-0.45,38.96,-77.45,5900.02,3658.01
"London, United Kingdom - Singapore, Singapore",LHR,SIN,51.5,-0.45,1.34,103.98,10881.74,6746.68
"Lisbon, Portugal - London, United Kingdom",LHR,LIS,51.5,-0.45,38.77,-9.13,1568.15,972.25
"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,2573.55,1595.6
"Houston, United States Of America - Newark, United States Of America",IAH,EWR,30,-95.34,40.69,-74.18,2248.4,1394.01
"Dallas, United States Of America - New York, United States Of America",LGA,DFW,40.8,-73.88,32.87,-97.04,2233.09,1384.52
"Newark, United States Of America - Toronto Island, Canada",YTZ,EWR,43.6,-79.4,40.69,-74.18,538.26,333.72
"Edinburgh, United Kingdom - London, United Kingdom",EDI,LCY,56,-3.34,51.5,0.05,547.61,339.52
"Chicago, United States Of America - London, United Kingdom",LHR,ORD,51.5,-0.45,41.6,-98.93,7027.02,4356.75
"New York, United States Of America - Tokyo, Japan",NRT,JFK,35.8,140.39,40.64,-73.79,10826.31,6712.31
"Beijing, China - Hong Kong, Hong Kong",HKG,PEK,22.3,113.94,40.07,116.58,1991.56,1234.77
"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,2573.55,1595.6
"Bombay, India - London, United Kingdom",BOM,LHR,19.1,72.86,51.47,-0.45,7210.72,4470.65
"London, United Kingdom - Stockholm, Sweden",LHR,ARN,51.5,-0.45,60.74,15.85,1433.47,888.75
"Glasgow, United Kingdom - Madras, India",MAA,GLA,51.5,-0.45,55.86,-4.43,550.92,341.57
"Durban, South Africa - Johannesburg, South Africa",JNB,DUR,-26.1,28.23,-29.96,30.95,505.42,313.36
"Accra, Ghana - London, United Kingdom",LHR,ACC,51.5,-0.45,5.6,-0.17,5103.91,3164.42
"London, United Kingdom - Tokyo, Japan",NRT,LHR,35.8,140.39,51.47,-0.45,9587.69,5944.37
"London, United Kingdom - Tel Aviv-yafo, Israel",LHR,TLV,51.5,-0.45,32.01,34.89,3589.56,2225.53
"Accra, Ghana - Johannesburg, South Africa",JNB,ACC,-26.1,28.23,5.6,-0.17,4669.2,2894.9
"New York, United States Of America - Sao Paulo, Brazil",GRU,JFK,-23.4,-46.48,40.64,-73.79,7660.49,4749.5
"Cairo, Egypt - Johannesburg, South Africa",JNB,CAI,-26.1,28.23,30.05,31.25,6251.87,3876.16
"Atlanta, United States Of America - New York, United States Of America",ATL,LGA,42.9,-83.53,40.77,-73.88,833.27,516.63
"Athens, Greece - London, United Kingdom",ATH,LHR,37.9,23.72,51.47,-0.45,2415.33,1497.5
"Amsterdam, Netherlands - London, United Kingdom",LCY,AMS,51.5,0.05,52.31,4.75,334.71,207.52
"Hong Kong, Hong Kong - New York, United States Of America",HKG,JFK,22.3,113.94,40.64,-73.79,12970.92,8041.97
"London, United Kingdom - Los Angeles, United States Of America",LAX,LHR,34.1,-118.24,51.47,-0.45,8737.13,5417.02
"Dallas, United States Of America - London, United Kingdom",DFW,LHR,32.9,-97.04,51.47,-0.45,7627.87,4729.28
"Dubai, United Arab Emirates - Johannesburg, South Africa",JNB,DXB,-26.1,28.23,25.25,55.35,6409.1,3973.64
"London, United Kingdom - Paris, France",ORY,LCY,48.7,2.37,51.5,0.05,352.54,218.57
"Dar Es Salaam, United Rep. Of Tanzania - Mtwara, United Rep. Of Tanzania",MYW,DAR,-10.3,40.18,-6.88,39.2,395.25,245.06
"Frankfurt, Germany - London, United Kingdom",FRA,LCY,50.1,8.56,51.5,0.05,617.6,382.91
"Dar Es Salaam, United Rep. Of Tanzania - Johannesburg, South Africa",DAR,JNB,-6.9,39.2,-26.13,28.23,2433.78,1508.94
"Mexico City, Mexico - New York, United States Of America",MEX,JFK,19.4,-99.16,40.64,-73.79,3373.62,2091.64
"Bombay, India - Singapore, Singapore",SIN,BOM,1.3,103.98,19.09,72.86,3924.29,2433.06
"Amsterdam, Netherlands - London, United Kingdom",LHR,AMS,51.5,-0.45,52.31,4.75,367.84,228.06
"Geneva, Switzerland - London, United Kingdom",GVA,LHR,46.2,6.11,51.47,-0.45,756.96,469.32
"Bombay, India - Newark, United States Of America",BOM,EWR,19.1,72.86,40.69,-74.18,12545.1,7777.96
"New York, United States Of America - Toronto, Canada",LGA,YYZ,40.8,-73.88,43.68,-79.61,569.92,353.35
"Johannesburg, South Africa - New York, United States Of America",JFK,JNB,51.5,-0.45,-26.13,28.23,9076.26,5627.28
"Beijing, China - London, United Kingdom",LHR,PEK,51.5,-0.45,40.07,116.58,8151.08,5053.67
"London, United Kingdom - Tokyo, Japan",LHR,HND,51.5,-0.45,35.55,139.75,9587.42,5944.2
"London, United Kingdom - Madrid, Spain",LCY,MAD,51.5,0.05,40.46,-3.58,1258.82,780.47
"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,2573.55,1595.6
"Copenhagen, Denmark - London, United Kingdom",CPH,LHR,55.6,12.64,51.47,-0.45,977.26,605.9
"Dar Es Salaam, United Rep. Of Tanzania - Mwanza, United Rep. Of Tanzania",MWZ,DAR,-2.5,32.93,-6.88,39.2,848.4,526.01
"London, United Kingdom - Philadelphia, United States Of America",LHR,PHL,51.5,-0.45,45.05,-89.01,6182.78,3833.32
"Lagos, Nigeria - London, United Kingdom",LHR,LOS,51.5,-0.45,6.58,3.32,5006.94,3104.3
"New York, United States Of America - Rio De Janeiro, Brazil",GIG,JFK,-22.8,-43.24,40.64,-73.79,7729.25,4792.14
"Bombay, India - Manchester, United Kingdom",BOM,MAN,25.3,55.35,53.37,0.1,5495.98,3407.51
"Minneapolis, United States Of America - New York, United States Of America",MSP,LGA,44.9,-93.2,40.77,-73.88,1636.44,1014.59
"London, United Kingdom - Sydney, Australia",SYD,LHR,-33.9,151.23,51.47,-0.45,17019.28,10551.95
"Detroit, United States Of America - New York, United States Of America",LGA,DTW,40.8,-73.88,37.26,-107.75,2933.54,1818.79
"Hamburg, Germany - London, United Kingdom",HAM,LHR,53.6,10.01,51.47,-0.45,745.25,462.06
"Bukoba, United Rep. Of Tanzania - Mwanza, United Rep. Of Tanzania",BKZ,MWZ,-1.3,31.81,-2.45,32.93,178.45,110.64
"London, United Kingdom - Toronto, Canada",LHR,YYZ,51.5,-0.45,43.68,-79.61,5704.96,3537.08
"Bloemfontein, South Africa - Johannesburg, South Africa",BFN,JNB,-29.1,26.3,-26.13,28.23,381.06,236.26
"London, United Kingdom - San Diego, United States Of America",SAN,LHR,40.6,-73.79,51.47,-0.45,5543.95,3437.25
"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,2573.55,1595.6
"Hong Kong, Hong Kong - London, United Kingdom",LHR,HKG,51.5,-0.45,22.32,113.94,9628.8,5969.86
"London, United Kingdom - Zurich, Switzerland",LCY,ZRH,51.5,0.05,47.45,8.57,761.94,472.4
"Dubai, United Arab Emirates - Johannesburg, South Africa",DXB,JNB,25.3,55.35,-26.13,28.23,6416.88,3978.47
"Houston, United States Of America - London, United Kingdom",IAH,LHR,30,-95.34,51.47,-0.45,7762.38,4812.68
"Geneva, Switzerland - London, United Kingdom",LCY,GVA,51.5,0.05,46.23,6.11,734.23,455.22
"Houston, United States Of America - London, United Kingdom",LHR,IAH,51.5,-0.45,29.98,-95.34,7762.73,4812.89
"Johannesburg, South Africa - Singapore, Singapore",JNB,SIN,-26.1,28.23,1.34,103.98,8655.01,5366.11
"Hong Kong, Hong Kong - Seoul, Republic Of Korea",ICN,HKG,37.5,126.66,22.32,113.94,2081.61,1290.6
"Dubai, United Arab Emirates - Manchester, United Kingdom",MAN,DXB,53.4,0.1,25.25,55.35,5500.93,3410.58
"Glasgow, United Kingdom - London, United Kingdom",GLA,LHR,55.9,-4.43,51.47,-0.45,557.76,345.81
"Singapore, Singapore - Tokyo, Japan",SIN,HND,1.3,103.98,35.55,139.75,5302.74,3287.7
"Newark, United States Of America - San Francisco, United States Of America",EWR,SFO,40.7,-74.18,37.61,-122.39,4118.89,2553.71
"Newark, United States Of America - Singapore, Singapore",EWR,SIN,40.7,-74.18,1.34,103.98,15336.74,9508.78
"Miami, United States Of America - New York, United States Of America",LGA,MIA,40.8,-73.88,33.4,-110.87,3355.49,2080.4
"Singapore, Singapore - Tokyo, Japan",NRT,SIN,35.8,140.39,1.34,103.98,5362.12,3324.51
"Lisbon, Portugal - Madrid, Spain",LIS,MAD,38.8,-9.13,40.46,-3.58,509.77,316.06
"Dubai, United Arab Emirates - London, United Kingdom",LGW,DXB,51.2,-0.16,25.25,55.35,5471.28,3392.19
"Bombay, India - Singapore, Singapore",SIN,BOM,1.3,103.98,19.09,72.86,3924.29,2433.06
"London, United Kingdom - Rome, Italy",FCO,LHR,41.9,12.5,51.47,-0.45,1447.78,897.62
"Calgary, Canada - Newark, United States Of America",YYC,EWR,51.1,-114.01,40.69,-74.18,3245.25,2012.06
"Johannesburg, South Africa - Port Elizabeth, South Africa",JNB,PLZ,-26.1,28.23,-33.98,25.61,911.68,565.24
"Amsterdam, Netherlands - New York, United States Of America",JFK,AMS,40.6,-73.79,52.31,4.75,5850.2,3627.12
"Johannesburg, South Africa - New York, United States Of America",JNB,JFK,-26.1,28.23,40.64,-73.79,12828.44,7953.63
"London, United Kingdom - Munich, Germany",MUC,LHR,48.3,11.77,51.47,-0.45,942.36,584.26
"Doha, Qatar - Dubai, United Arab Emirates",DOH,DXB,25.3,51.56,25.25,55.35,381.11,236.29
"Cape Town, South Africa - London, United Kingdom",LHR,CPT,51.5,-0.45,-33.97,18.59,9684.16,6004.18
"London, United Kingdom - Milan, Italy",LCY,LIN,51.5,0.05,45.47,9.18,948.58,588.12
"Chicago, United States Of America - London, United Kingdom",LHR,ORD,51.5,-0.45,41.6,-98.93,7027.02,4356.75
"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,2573.55,1595.6
"Johannesburg, South Africa - Mauritius, Mauritius",JNB,MRU,-26.1,28.23,-20.43,57.68,3066.72,1901.37
"Jersey-channel Islands, United Kingdom - London, United Kingdom",LGW,JER,51.2,-0.16,49.21,-2.19,264.24,163.83
"New York, United States Of America - Santiago, Chile",JFK,SCL,40.6,-73.79,-33.39,-70.79,8233.07,5104.5
"Johannesburg, South Africa - Lusaka, Zambia",JNB,LUN,-26.1,28.23,-15.33,28.45,1197.79,742.63
"Johannesburg, South Africa - Nairobi, Kenya",NBO,JNB,-1.3,36.81,-26.13,28.23,2909.64,1803.98
"Isle Of Man, United Kingdom - London, United Kingdom",IOM,LGW,54.1,-4.63,51.16,-0.16,444.67,275.7
"Bombay, India - London, United Kingdom",LHR,BOM,51.5,-0.45,19.09,72.86,7211.59,4471.19
"London, United Kingdom - Riyadh, Saudi Arabia",LHR,RUH,51.5,-0.45,24.94,46.71,4943.07,3064.7
"Las Vegas, United States Of America - New York, United States Of America",JFK,LAS,40.6,-73.79,32.02,-87.96,1584.78,982.56
"London, United Kingdom - Oslo, Norway",LHR,OSL,51.5,-0.45,59.91,10.75,1165.87,722.84
"Madras, India - Manchester, United Kingdom",MAN,MAA,25.3,55.35,13.05,80.23,2938.71,1822.0
"Accra, Ghana - Johannesburg, South Africa",ACC,JNB,5.6,-0.17,-26.13,28.23,4671.56,2896.37
"London, United Kingdom - New York, United States Of America",JFK,LHR,40.6,-73.79,51.47,-0.45,5543.95,3437.25
"Lisbon, Portugal - Madrid, Spain",LIS,MAD,38.8,-9.13,40.46,-3.58,509.77,316.06
"Dublin, Republic Of Ireland - London, United Kingdom",DUB,LHR,53.3,-6.25,51.47,-0.45,442.94,274.62
"Kiev-borispol, Ukraine - London, United Kingdom",KBP,LHR,50.4,30.55,51.47,-0.45,2159.31,1338.77
"London, United Kingdom - Milan, Italy",LIN,LCY,45.5,9.18,51.5,0.05,946.1,586.58
"London, United Kingdom - Tokyo, Japan",LHR,NRT,51.5,-0.45,35.75,140.39,9589.94,5945.76
"Rio De Janeiro, Brazil - Sao Paulo, Brazil",CGH,SDU,-23.6,-46.66,-22.91,-43.17,364.69,226.11
"London, United Kingdom - Luxembourg, Luxembourg",LCY,LUX,51.5,0.05,49.63,6.21,482.02,298.85
"Helsinki, Finland - London, United Kingdom",LHR,HEL,51.5,-0.45,60.31,24.97,1845.22,1144.04
"New York, United States Of America - Washington Dc, United States Of America",LGA,DCA,40.8,-73.88,38.85,-77.04,346.14,214.61
"London, United Kingdom - Melbourne, Australia",LHR,MEL,1.3,103.98,-37.67,144.85,6030.02,3738.61
"London, United Kingdom - Zurich, Switzerland",LHR,ZRH,51.5,-0.45,47.45,8.57,791.28,490.59
"London, United Kingdom - Singapore, Singapore",SIN,LHR,1.3,103.98,51.47,-0.45,10885.97,6749.3
"Geneva, Switzerland - London, United Kingdom",LHR,GVA,51.5,-0.45,46.23,6.11,756.77,469.2
"Frankfurt, Germany - New York, United States Of America",JFK,FRA,40.6,-73.79,50.05,8.56,6191.53,3838.75
"Cairo, Egypt - London, United Kingdom",LHR,CAI,51.5,-0.45,30.05,31.25,3530.49,2188.9
"Boston, United States Of America - London, United Kingdom",BOS,LHR,42.2,-71,51.47,-0.45,5251.05,3255.65
"Singapore, Singapore - Tokyo, Japan",SIN,HND,1.3,103.98,35.55,139.75,5302.74,3287.7
"Johannesburg, South Africa - Maputo, Mozambique",JNB,MPM,-26.1,28.23,-25.92,32.57,434.15,269.17
"Milan, Italy - Rome, Italy",LIN,FCO,45.5,9.18,41.9,12.5,481.02,298.23
"London, United Kingdom - Warsaw, Poland",LHR,WAW,51.5,-0.45,52.17,20.98,1468.98,910.77
"Dubai, United Arab Emirates - Madras, India",MAA,DXB,13.1,80.23,25.25,55.35,2933.67,1818.88
"Hong Kong, Hong Kong - Singapore, Singapore",HKG,SIN,22.3,113.94,1.34,103.98,2567.49,1591.84
"London, United Kingdom - Nice, France",LHR,NCE,51.5,-0.45,43.67,7.21,1041.86,645.95
"Geneva, Switzerland - London, United Kingdom",GVA,LCY,46.2,6.11,51.5,0.05,736.97,456.92
"London, United Kingdom - Lusaka, Zambia",LHR,LUN,-1.3,36.81,-15.33,28.45,1809.79,1122.07
"Newark, United States Of America - Phoenix, United States Of America",EWR,PHX,40.7,-74.18,33.44,-112.03,3425.69,2123.93
"Johannesburg, South Africa - Manchester, United Kingdom",JNB,MAN,25.3,55.35,53.37,0.1,5495.98,3407.51
"Edinburgh, United Kingdom - London, United Kingdom",LHR,EDI,51.5,-0.45,55.96,-3.34,531.0,329.22
"Hong Kong, Hong Kong - Shanghai, China",PVG,HKG,31.1,121.8,22.32,113.94,1249.16,774.48
"Abu Dhabi, United Arab Emirates - London, United Kingdom",AUH,LHR,25.3,51.56,51.47,-0.45,5235.18,3245.81
"London, United Kingdom - Vienna, Austria",LHR,VIE,51.5,-0.45,48.2,16.37,1257.28,779.51
"Delhi, India - Dubai, United Arab Emirates",DXB,DEL,25.3,55.35,28.66,77.26,2199.78,1363.86
"Los Angeles, United States Of America - San Francisco, United States Of America",SFO,LAX,37.6,-122.39,34.05,-118.24,543.76,337.13
"Beijing, China - Hong Kong, Hong Kong",HKG,PEK,22.3,113.94,40.07,116.58,1991.56,1234.77
"Dar Es Salaam, United Rep. Of Tanzania - London, United Kingdom",LHR,DAR,51.5,-0.45,-6.88,39.2,7509.62,4655.96
"London, United Kingdom - Zurich, Switzerland",ZRH,LCY,47.5,8.57,51.5,0.05,758.42,470.22
"Denver, United States Of America - London, United Kingdom",LHR,DEN,51.5,-0.45,39.77,-104.86,7513.35,4658.28
"London, United Kingdom - Seattle, United States Of America",LHR,SEA,51.5,-0.45,39.9,-75.59,5710.52,3540.52
"Dublin, Republic Of Ireland - London, United Kingdom",LCY,DUB,51.5,0.05,53.34,-6.25,473.47,293.55
"Dubai, United Arab Emirates - Mahe Island, Seychelles Islands",DXB,SEZ,25.3,55.35,-4.68,55.52,3333.67,2066.88
"Sydney, Australia - Tokyo, Japan",NRT,SYD,35.8,140.39,-33.92,151.23,7833.89,4857.01
"London, United Kingdom - Mexico City, Mexico",LHR,MEX,51.5,-0.45,19.43,-99.16,8909.89,5524.13
"New York, United States Of America - Paris, France",CDG,JFK,49,2.54,40.64,-73.79,5834.23,3617.22
"Hong Kong, Hong Kong - Taipei, Taiwan",HKG,TPE,22.3,113.94,25.08,121.24,804.85,499.01
"London, United Kingdom - Moscow, Russia",SVO,LHR,56,37.42,51.47,-0.45,2507.89,1554.89
"Madrid, Spain - New York, United States Of America",JFK,MAD,40.6,-73.79,40.46,-3.58,5764.08,3573.73
"Johannesburg, South Africa - London, United Kingdom",JNB,LHR,-26.1,28.23,51.47,-0.45,9070.08,5623.45
"Bombay, India - Singapore, Singapore",BOM,SIN,19.1,72.86,1.34,103.98,3922.41,2431.89
"Los Angeles, United States Of America - Newark, United States Of America",EWR,LAX,40.7,-74.18,34.05,-118.24,3920.99,2431.01
"Dallas, United States Of America - Newark, United States Of America",DFW,EWR,32.9,-97.04,40.69,-74.18,2203.78,1366.34
"Manchester, United Kingdom - Manila, Philippines",MAN,MNL,25.3,55.35,14.51,121.02,6907.09,4282.4
"London, United Kingdom - Stockholm, Sweden",ARN,LCY,60.7,15.85,51.5,0.05,1409.52,873.9
"Hong Kong, Hong Kong - Tokyo, Japan",HKG,HND,22.3,113.94,35.55,139.75,2898.44,1797.03
"Bombay, India - New York, United States Of America",BOM,JFK,51.5,-0.45,40.64,-73.79,5540.14,3434.89
"Singapore, Singapore - Tokyo, Japan",NRT,SIN,35.8,140.39,1.34,103.98,5362.12,3324.51
"Manchester, United Kingdom - Singapore, Singapore",SIN,MAN,1.3,103.98,53.37,0.1,10805.27,6699.27
"Boston, United States Of America - San Francisco, United States Of America",BOS,SFO,42.2,-71,37.61,-122.39,4346.72,2694.97
"Chicago, United States Of America - Newark, United States Of America",EWR,ORD,40.7,-74.18,41.6,-98.93,2067.59,1281.91
"London, United Kingdom - Paris, France",CDG,LHR,49,2.54,51.47,-0.45,347.3,215.33
"Entebbe/kampala, Uganda - London, United Kingdom",EBB,LHR,-1.3,36.81,51.47,-0.45,6833.06,4236.5
"Nice, France - Paris, France",ORY,NCE,48.7,2.37,43.67,7.21,671.74,416.48
"Singapore, Singapore - Sydney, Australia",SIN,SYD,1.3,103.98,-33.92,151.23,6293.67,3902.08
"Hong Kong, Hong Kong - New York, United States Of America",HKG,JFK,22.3,113.94,40.64,-73.79,12970.92,8041.97
"London, United Kingdom - San Francisco, United States Of America",SFO,LHR,37.6,-122.39,51.47,-0.45,8619.11,5343.85
"Dusseldorf, Germany - London, United Kingdom",LHR,DUS,51.5,-0.45,51.28,6.78,502.06,311.28
"Dar Es Salaam, United Rep. Of Tanzania - Kilimanjaro, United Rep. Of Tanzania",DAR,JRO,-6.9,39.2,-3.43,37.07,452.22,280.38
"Dubai, United Arab Emirates - Glasgow, United Kingdom",DXB,GLA,25.3,55.35,55.86,-4.43,5835.1,3617.76
"Frankfurt, Germany - Hamburg, Germany",FRA,HAM,50.1,8.56,53.64,10.01,406.0,251.72
"Newark, United States Of America - Singapore, Singapore",SIN,EWR,1.3,103.98,40.69,-74.18,15342.29,9512.22
"Lima, Peru - New York, United States Of America",LIM,JFK,-12,-77.11,40.64,-73.79,5863.28,3635.23
"Denver, United States Of America - New York, United States Of America",DEN,LGA,39.8,-104.86,40.77,-73.88,2616.37,1622.15
"London, United Kingdom - Rotterdam, Netherlands",RTM,LCY,52,4.43,51.5,0.05,306.55,190.06
"Hong Kong, Hong Kong - Tokyo, Japan",HND,HKG,35.6,139.75,22.32,113.94,2899.35,1797.6
"Gaborone, Botswana - Johannesburg, South Africa",GBE,JNB,-24.6,25.93,-26.13,28.23,286.95,177.91
"Entebbe/kampala, Uganda - Johannesburg, South Africa",JNB,EBB,-26.1,28.23,0.04,32.44,2941.48,1823.72
"New York, United States Of America - Singapore, Singapore",SIN,JFK,25.3,55.35,40.64,-73.79,10997.09,6818.2
"Bombay, India - Johannesburg, South Africa",JNB,BOM,-26.1,28.23,19.09,72.86,6961.81,4316.32
"Frankfurt, Germany - Munich, Germany",FRA,MUC,50.1,8.56,48.34,11.77,304.34,188.69
"Frankfurt, Germany - Johannesburg, South Africa",JNB,FRA,-26.1,28.23,50.05,8.56,8687.4,5386.19
"Las Vegas, United States Of America - Newark, United States Of America",EWR,LAS,40.7,-74.18,32.02,-87.96,1563.31,969.25
"Dubai, United Arab Emirates - London, United Kingdom",DXB,LGW,25.3,55.35,51.16,-0.16,5466.45,3389.2
"Bombay, India - Delhi, India",DEL,BOM,28.7,77.26,19.09,72.86,1158.1,718.02
"Geneva, Switzerland - Newark, United States Of America",GVA,EWR,46.2,6.11,40.69,-74.18,6227.79,3861.23
"Milan, Italy - New York, United States Of America",MXP,JFK,45.5,9.18,40.64,-73.79,6451.43,3999.89
"Dubai, United Arab Emirates - Geneva, Switzerland",DXB,GVA,25.3,55.35,46.23,6.11,4914.62,3047.06
"Isle Of Man, United Kingdom - London, United Kingdom",IOM,LCY,54.1,-4.63,51.5,0.05,427.12,264.81
"Hong Kong, Hong Kong - Jakarta-soekarno, Indonesia",HKG,CGK,22.3,113.94,-6.13,106.66,3259.13,2020.66
"Cairo, Egypt - Johannesburg, South Africa",JNB,CAI,25.3,55.35,30.05,31.25,2426.33,1504.32
"Johannesburg, South Africa - Paris, France",JNB,CDG,-26.1,28.23,49.01,2.54,8732.89,5414.39
"London, United Kingdom - Manchester, United Kingdom",MAN,LHR,53.4,0.1,51.47,-0.45,217.82,135.05
"Arusha, United Rep. Of Tanzania - Dar Es Salaam, United Rep. Of Tanzania",DAR,ARK,-6.9,39.2,-3.37,36.67,482.24,298.99
"London, United Kingdom - Sao Paulo, Brazil",GRU,LHR,-23.4,-46.48,51.47,-0.45,9457.47,5863.63
"London, United Kingdom - Sao Paulo, Brazil",GRU,LHR,-23.4,-46.48,51.47,-0.45,9457.47,5863.63
"Madras, India - Singapore, Singapore",SIN,MAA,1.3,103.98,13.05,80.23,2923.29,1812.44
"Bombay, India - Dubai, United Arab Emirates",BOM,DXB,19.1,72.86,25.25,55.35,1926.18,1194.23
"London, United Kingdom - Vancouver, Canada",LHR,YVR,51.5,-0.45,49.19,-123.17,7576.22,4697.26
"Frankfurt, Germany - Riyadh, Saudi Arabia",FRA,RUH,50.1,8.56,24.94,46.71,4298.61,2665.14
"Delhi, India - Dubai, United Arab Emirates",DXB,DEL,25.3,55.35,28.66,77.26,2199.78,1363.86
